"Name","Runtime","GitHub","Hostname","Notes","GPU Type","GPU Count","Tags","unbiased_test.accuracy.bias","crit","rho","biased.accuracy.bias","biased.accuracy.f_target","biased.accuracy.target","biased.loss","rho0.accuracy.bias","rho0.accuracy.f_target","rho0.accuracy.target","rho0.loss","train.accuracy.bias","train.accuracy.f_target","train.accuracy.target","train.loss","unbiased.accuracy.bias","unbiased.accuracy.f_target","unbiased.accuracy.target","unbiased.loss"
"revived-disco-87","375","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.99","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.3277889169752598","0.04829999804496765","0.9262999892234802","0.9249999523162842","2.70015629529953","0.9987666606903076","0.9998666644096376","0.999750018119812","0.33102474618465344","0.1449999958276749","0.9311999678611756","0.9315999746322632","2.453045678138733"
"playful-cosmos-86","375","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.995","0.9983999729156494","0.9988999962806702","0.9983999729156494","0.3834861747920513","0.03969999775290489","0.9285999536514282","0.9314000010490416","2.69153693318367","0.9977666735649108","0.9990666508674622","0.9986667037010192","0.3857734015647401","0.1356000006198883","0.9347999691963196","0.9364999532699584","2.456758314371109"
"upbeat-silence-85","374","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.997","0.9985999464988708","0.9988999962806702","0.9985999464988708","0.4106159366667271","0.10359999537467957","0.8402999639511108","0.8585999608039856","2.3524672210216524","0.9978166818618774","0.9990333318710328","0.9985499978065492","0.4156856151337319","0.18789999186992645","0.857699990272522","0.8750999569892883","2.139817255735397"
"lyric-microwave-84","375","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.999","0.5048999786376953","0.942200005054474","0.5048999786376953","2.151073914766312","0.09950000047683716","0.5353999733924866","0.32259997725486755","2.2838228404521943","0.4947499930858612","0.9366000294685364","0.4950000047683716","2.153591609508433","0.14630000293254852","0.5686999559402466","0.3400999903678894","2.2692473351955416"
"worldly-voice-83","374","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.99","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.32653412595391273","0.05049999803304672","0.9259999990463256","0.9249999523162842","2.708512169122696","0.9988166689872742","0.9998000264167786","0.9997333288192748","0.32984437422549473","0.14479999244213104","0.933299958705902","0.93149995803833","2.451476162672043"
"hardy-dragon-82","375","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.995","0.9982999563217164","0.9988999962806702","0.9982999563217164","0.3806472174823285","0.0405999980866909","0.9254999756813048","0.9294999837875366","2.6828791916370394","0.9977999925613404","0.9991166591644288","0.9988000392913818","0.383096711686317","0.13609999418258667","0.9329999685287476","0.9352999925613404","2.457456684112549"
"copper-blaze-81","374","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.997","0.998199999332428","0.9988999962806702","0.998199999332428","0.4116364195942879","0.09299999475479126","0.8482999801635742","0.8659999966621399","2.350544774532318","0.997783362865448","0.9991333484649658","0.9985666871070862","0.4157161327118569","0.1867000013589859","0.8611999750137329","0.8761999607086182","2.1513498783111573"
"astral-cosmos-80","376","https://github.com/carloalbertobarbano/rebias/tree/303625cb09b66cf93a70463b93dc786151059572","redmon","-","GeForce RTX 2080 Ti","1","","","end","0.999","0.5009999871253967","0.942200005054474","0.5009999871253967","2.148081344366074","0.09439999610185625","0.5324999690055847","0.33139997720718384","2.286991846561432","0.48945000767707825","0.9365500211715698","0.48963335156440735","2.15223393643156","0.13409999012947085","0.5679000020027161","0.350600004196167","2.271896559000015"
"noble-resonance-73","378","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.99","0.9075999855995178","0.6757999658584595","0.9075999855995178","0.410322242975235","0.007199999876320362","0.9661999940872192","0.7762999534606934","9.45647723674774","0.9005833268165588","0.6571833491325378","0.9013167023658752","0.4403033548213066","0.0980999991297722","0.9363999962806702","0.791700005531311","8.60134689807892"
"tough-resonance-72","379","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.99","0.9077999591827391","0.6757999658584595","0.9077999591827391","0.4192770391702652","0.007199999876320362","0.9650999903678894","0.7619999647140503","9.432907128334046","0.900783360004425","0.6572166681289673","0.9016000032424928","0.4394904392830869","0.09749999642372131","0.9371999502182008","0.7793999910354614","8.462958526611327"
"bumbling-pine-71","377","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.995","0.839199960231781","0.4048999845981598","0.839199960231781","0.6940131708979607","0.05179999768733978","0.8844999670982361","0.4593999981880188","8.028693521022797","0.8298666477203369","0.3987500071525574","0.8303333520889282","0.731495860282411","0.1273999959230423","0.8307999968528748","0.49719998240470886","7.357359063625336"
"silvery-shape-70","377","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.995","0.8393999934196472","0.4048999845981598","0.8393999934196472","0.7065501227974892","0.04839999973773956","0.8781999945640564","0.46289998292922974","8.143438577651978","0.8304333686828613","0.3986166715621948","0.8307999968528748","0.732094078368329","0.12999999523162842","0.8321999907493591","0.4964999854564667","7.266990733146668"
"misty-totem-69","379","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.997","0.95059996843338","0.03460000082850456","0.95059996843338","0.4893697418272495","0.3942999839782715","0.462799996137619","0.0949999988079071","2.35238174200058","0.9489499926567078","0.03736666589975357","0.9486833214759828","0.4905991528896575","0.4465000033378601","0.41349998116493225","0.18019999563694","2.1785559356212616"
"rosy-energy-68","380","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.997","0.952299952507019","0.03460000082850456","0.952299952507019","0.48505100831389425","0.3937000036239624","0.45509999990463257","0.09619999676942824","2.296881228685379","0.9503333568572998","0.03734999895095825","0.9499500393867492","0.4900781973879388","0.4503999948501587","0.4151999950408935","0.1809999942779541","2.083849310874939"
"grateful-microwave-67","376","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.999","0.7633999586105347","0.0008999999845400453","0.7633999586105347","1.1644572347402573","0.3865000009536743","0.17790000140666962","0.05949999764561653","1.8562446713447571","0.7598333358764648","0.001550000044517219","0.7595000267028809","1.165913009136281","0.4236999750137329","0.15889999270439148","0.12799999117851257","1.795927381515503"
"eager-jazz-66","395","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.999","0.7602999806404114","0.0008999999845400453","0.7602999806404114","1.167922216653824","0.371399998664856","0.17909999191761017","0.06539999693632126","1.8738455027341845","0.7564833164215088","0.001483333297073841","0.7562500238418579","1.168259238689504","0.40219998359680176","0.1597999930381775","0.13619999587535858","1.7878780215978622"
"earnest-morning-65","390","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.99","1","0.9997999668121338","1","0.0044669299619272355","0.16359999775886536","0.8461999893188477","0.8229999542236328","2.5380043506622316","0.9991999864578248","0.9997166991233826","0.9997333288192748","0.00667562224763505","0.25049999356269836","0.8596999645233154","0.8373000025749207","2.2713592648506165"
"eager-grass-64","412","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.99","1","0.9997999668121338","1","0.004488107725046575","0.15549999475479126","0.8502999544143677","0.8298999667167664","2.5537112176418306","0.9991000294685364","0.9997667074203492","0.9998000264167786","0.007083695579042777","0.2442999929189682","0.8623999953269958","0.8434000015258789","2.312931078672409"
"polished-field-63","377","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.995","0.9998999834060668","0.9998999834060668","0.9998999834060668","0.004177051829174161","0.5245000123977661","0.5220999717712402","0.45399999618530273","1.1716670155525208","0.9995666742324828","0.9993833303451538","0.9993500113487244","0.005492935843884628","0.5680999755859375","0.5651999711990356","0.5102999806404114","1.062277716398239"
"hopeful-silence-62","377","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.995","0.9998999834060668","0.9998999834060668","0.9998999834060668","0.004185043345205486","0.524399995803833","0.5227000117301941","0.4537999927997589","1.199021589756012","0.9995166659355164","0.9993833303451538","0.9994000196456908","0.00542470678548388","0.5735999941825867","0.5690999627113342","0.5073999762535095","1.072133395075798"
"fine-cosmos-61","376","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.997","1","1","1","0.0034992471570149063","0.9346999526023864","0.06279999762773514","0.05199999734759331","0.3037875652313232","0.9999833703041076","0.9989833235740662","0.9989666938781738","0.003950512791646922","0.9396999478340148","0.15549999475479126","0.14639998972415924","0.2742275811731815"
"apricot-elevator-60","376","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.997","1","1","1","0.003484888072125614","0.9322999715805054","0.06549999862909317","0.05480000004172325","0.3022300537675619","0.9999333620071412","0.9990000128746032","0.9990167021751404","0.003964932664158814","0.9375999569892884","0.15619999170303345","0.14749999344348907","0.27715017311275003"
"faithful-surf-59","373","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.999","1","1","1","0.0025970454327762125","0.9972999691963196","0.0026000000070780516","0.0016999999061226845","0.030184971494600175","1","0.9989500045776368","0.9989500045776368","0.002716410817935112","0.9973999857902528","0.10319999605417252","0.10179999470710754","0.02682138925883919"
"frosty-deluge-58","372","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.999","1","1","1","0.0025835025357082487","0.9975000023841858","0.002899999963119626","0.0018999999156221747","0.02914112382568419","1","0.9989500045776368","0.9989500045776368","0.002713925271552611","0.9993000030517578","0.10099999606609344","0.10019999742507936","0.02493154271505773"
"hardy-salad-57","380","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.99","1","1","1","0.007847262686118484","0.14899998903274536","0.8678999543190002","0.8366000056266785","2.495420050621033","0.9990500211715698","0.9998833537101746","0.999833345413208","0.01086639173408138","0.23119999468326569","0.880299985408783","0.8535999655723572","2.257775157690048"
"dandy-armadillo-56","381","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.99","1","1","1","0.007966057443991304","0.14069999754428864","0.8702999949455261","0.8443999886512756","2.574810928106308","0.9991000294685364","0.999833345413208","0.999833345413208","0.010734162820463486","0.22299998998641968","0.8852999806404114","0.8606999516487122","2.3231174767017366"
"twilight-pine-55","383","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.995","1","1","1","0.007033767481334508","0.3008999824523926","0.7512999773025513","0.6837999820709229","1.758281534910202","0.9993166923522948","0.9997000098228456","0.9995999932289124","0.008563727738850929","0.37109997868537903","0.7771999835968018","0.7137999534606934","1.5772148668766022"
"balmy-salad-54","383","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.995","1","1","1","0.007124233222566545","0.30059999227523804","0.7512999773025513","0.6850000023841858","1.7605625301599503","0.9993166923522948","0.9997166991233826","0.9996166825294496","0.008635370831619553","0.36389997601509094","0.7771999835968018","0.7202999591827393","1.567198821902275"
"logical-sound-53","376","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.997","1","1","1","0.0061678249621763825","0.4496999979019165","0.6146999597549438","0.5356000065803528","1.3101848930120468","0.9994333386421204","0.9995333552360536","0.999500036239624","0.007630154351763269","0.5095999836921692","0.6478999853134155","0.5770999789237976","1.1514698207378389"
"effortless-donkey-52","378","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.997","1","1","1","0.006067163241095841","0.4599999785423279","0.612500011920929","0.5271999835968018","1.2808335661888122","0.9994166493415833","0.9995666742324828","0.9995166659355164","0.007615048985214944","0.5137999653816223","0.6538999676704407","0.5740999579429626","1.1563189804553986"
"hopeful-tree-51","389","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.999","1","1","1","0.005347286164760589","0.8876999616622925","0.14239999651908877","0.09609999507665634","0.3747893393039703","0.999916672706604","0.9990833401679992","0.9990333318710328","0.0057523931257743785","0.9016000032424928","0.22609999775886536","0.18369999527931213","0.3325491428375244"
"splendid-dust-50","405","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.999","1","1","1","0.005519542563706637","0.8817999958992004","0.1437000036239624","0.10359999537467957","0.3948447719216347","0.9998833537101746","0.9991000294685364","0.9990666508674622","0.005855587982830215","0.8950999975204468","0.2289000004529953","0.19339999556541443","0.3565362296998501"
"silvery-snow-49","375","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.99","1","1","1","0.007611854700371623","0.1550000011920929","0.8532999753952026","0.8287000060081482","2.4315847933292387","0.9991333484649658","0.9997667074203492","0.9997333288192748","0.00977947797943303","0.23639999330043793","0.8707000017166138","0.8495999574661255","2.180248373746872"
"crimson-oath-48","375","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.99","1","1","1","0.00761990228202194","0.1574999988079071","0.852899968624115","0.8271999955177307","2.3933677673339844","0.9990666508674622","0.9998833537101746","0.9998666644096376","0.010453410070151724","0.240899994969368","0.8673999905586243","0.8453999757766724","2.1538864254951475"
"rare-river-47","389","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.995","0.9998999834060668","0.9998999834060668","0.9998999834060668","0.006950867152772844","0.3856000006198883","0.649399995803833","0.5971999764442444","1.5327333748340606","0.9994333386421204","0.9995666742324828","0.9995166659355164","0.008555340965060478","0.4470999836921692","0.6840999722480774","0.6362999677658081","1.398176011443138"
"jumping-violet-46","384","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.995","0.9998999834060668","0.9998999834060668","0.9998999834060668","0.007046718243509531","0.3808999955654144","0.6525999903678894","0.6035999655723572","1.561123040318489","0.9993667006492616","0.9995666742324828","0.9995499849319458","0.00874800525526417","0.4432999789714813","0.6854999661445618","0.6419000029563904","1.3742758929729462"
"cool-pyramid-45","379","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.997","1","1","1","0.006383552635088563","0.875","0.13769999146461487","0.10359999537467957","0.4803476095199585","0.9998666644096376","0.9990833401679992","0.9990333318710328","0.007255759549901841","0.8892999887466431","0.22459998726844788","0.19209998846054077","0.4255373783409595"
"faithful-field-44","380","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.997","1","1","1","0.006395598175004125","0.8730999827384949","0.13849999010562897","0.10599999874830246","0.4818346567451954","0.9998833537101746","0.9991333484649658","0.9990167021751404","0.007178284580561709","0.8849999904632568","0.2238999903202057","0.1960999965667725","0.43842229843139646"
"kind-night-43","374","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.999","1","1","1","0.00488462985958904","0.9959999918937684","0.0007999999797903001","0.0010999999940395355","0.08545167800039052","1","0.9989500045776368","0.9989500045776368","0.005121318090390018","0.9964999556541444","0.10019999742507936","0.1006999984383583","0.07654060423374176"
"olive-jazz-42","373","https://github.com/carloalbertobarbano/rebias/tree/de24174cdc65a70a23e3943ee5beee79bcea4f58","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.999","1","1","1","0.004908844130113721","0.997099995613098","0.0005999999702908099","0.0007999999797903001","0.08223218070343137","1","0.9989500045776368","0.9989500045776368","0.005109715539010916","0.996999979019165","0.10040000081062316","0.1005999967455864","0.07414874024689197"
"fearless-sky-41","363","https://github.com/carloalbertobarbano/rebias/tree/50c6848df620050a1cd4b01027c18309e90c03c7","newnode11","-","Tesla V100-SXM2-32GB","4","","","end","0.99","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.32856428250670433","0.05049999803304672","0.9248999953269958","0.9251999855041504","2.681609332561493","0.9987333416938782","0.9998500347137452","0.999750018119812","0.3317043941071693","0.14729999005794525","0.9322999715805054","0.9312999844551086","2.455733525753021"
"mild-grass-40","364","https://github.com/carloalbertobarbano/rebias/tree/50c6848df620050a1cd4b01027c18309e90c03c7","newnode11","-","Tesla V100-SXM2-32GB","4","","","end","0.995","0.9985999464988708","0.9988999962806702","0.9985999464988708","0.38262410908937455","0.04079999774694443","0.9264999628067015","0.93149995803833","2.6766630887985228","0.9977166652679444","0.9991333484649658","0.9987000226974488","0.3841964530183914","0.1340000033378601","0.9377999901771544","0.939300000667572","2.4573596239089968"
"brisk-grass-39","365","https://github.com/carloalbertobarbano/rebias/tree/50c6848df620050a1cd4b01027c18309e90c03c7","newnode11","-","Tesla V100-SXM2-32GB","4","","","end","0.997","0.9983999729156494","0.9988999962806702","0.9983999729156494","0.4133882761001587","0.09749999642372131","0.8418999910354614","0.8639000058174133","2.341060906648636","0.9976333379745485","0.9991666674613952","0.9984666705131532","0.4180937623724024","0.1867000013589859","0.8592999577522278","0.8782999515533447","2.1531995594501496"
"ruby-brook-38","366","https://github.com/carloalbertobarbano/rebias/tree/50c6848df620050a1cd4b01027c18309e90c03c7","newnode11","-","Tesla V100-SXM2-32GB","4","","","end","0.999","0.4918999969959259","0.942200005054474","0.4918999969959259","2.1521703124046327","0.10529999434947968","0.5268999934196472","0.32199999690055847","2.283076369762421","0.4785000085830689","0.9364500045776368","0.4786333441734314","2.1565143219968106","0.1362999975681305","0.5685999989509583","0.34599998593330383","2.272032010555267"
"swift-donkey-31","377","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.99","1","1","1","0.0077235725242644545","0.15240000188350675","0.8567000031471252","0.8328999876976013","2.4227204442024233","0.9991666674613952","0.9998000264167786","0.9997667074203492","0.010440142393270704","0.23519998788833615","0.8693000078201294","0.849299967288971","2.16866934299469"
"fine-terrain-30","374","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.99","0.9085999727249146","0.6757999658584595","0.9085999727249146","0.4100059300661087","0.008100000210106373","0.9629999995231628","0.7689999938011169","9.368533420562745","0.901383340358734","0.6571666598320007","0.9021166563034058","0.4393482255174759","0.09709999710321426","0.9381999969482422","0.7872999906539917","8.498499524593353"
"sweet-feather-29","375","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.995","0.840999960899353","0.4048999845981598","0.840999960899353","0.6931231543421745","0.04729999974370003","0.8829999566078186","0.4702999889850617","8.012862288951874","0.832800030708313","0.3987666666507721","0.8332333564758301","0.7275484303210644","0.12479999661445618","0.8328999876976013","0.5062999725341797","7.393046069145203"
"vibrant-universe-28","374","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.997","0.949899971485138","0.03460000082850456","0.949899971485138","0.4927680797874928","0.4032000005245209","0.4596000015735626","0.09569999575614928","2.310309129953384","0.948300004005432","0.037566665560007095","0.947950005531311","0.4910938139925612","0.4560999870300293","0.4204999804496765","0.1808999925851822","2.1384965538978578"
"robust-jazz-27","373","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","learned-mixin","0.999","0.7595999836921692","0.0008999999845400453","0.7595999836921692","1.1680986046791078","0.3815999925136566","0.17589999735355377","0.057099997997283936","1.837734377384186","0.758233368396759","0.001550000044517219","0.7578999996185303","1.164761342393591","0.4213999807834625","0.16489998996257782","0.12789998948574066","1.7780690103769303"
"eternal-grass-26","376","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.99","1","0.9997999668121338","1","0.0045499576721340414","0.16249999403953552","0.8434999585151672","0.824400007724762","2.5971181809902193","0.9990666508674622","0.9998000264167786","0.999833345413208","0.007249495735827912","0.2458999902009964","0.8590999841690063","0.8420000076293945","2.3099738121032716"
"solar-salad-25","381","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.995","1","0.9998999834060668","1","0.004205885669216513","0.5184999704360962","0.5241000056266785","0.45819997787475586","1.1978843376040458","0.9994000196456908","0.999500036239624","0.999500036239624","0.005722900201625964","0.5720999836921692","0.566100001335144","0.5080999732017517","1.0766576632857323"
"different-fog-24","372","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.997","1","1","1","0.00347822408657521","0.93259996175766","0.06639999896287918","0.05469999834895134","0.30512050837278365","0.9998999834060668","0.9990333318710328","0.9990167021751404","0.00409035956031306","0.9418999552726746","0.15349999070167542","0.14509999752044678","0.2755743432790041"
"stellar-sunset-23","379","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","rubi","0.999","1","1","1","0.0026117215631529687","0.9971999526023864","0.0026000000070780516","0.0017999999690800903","0.030732196057215333","1","0.9989500045776368","0.9989500045776368","0.002704595409809275","0.9984999895095824","0.10089999437332152","0.10049999505281448","0.02648865254595876"
"toasty-rain-22","398","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.99","1","1","1","0.007785783824510872","0.14399999380111694","0.8720999956130981","0.8417999744415283","2.5364375054836272","0.9991166591644288","0.9998500347137452","0.9998000264167786","0.01034173004408466","0.23499999940395355","0.8819999694824219","0.8520999550819397","2.274920564889908"
"sweet-water-21","377","https://github.com/carloalbertobarbano/rebias/tree/419b0f76c045f784e9a650ed75b5c13be11ab921","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.995","1","1","1","0.007091087382286787","0.2962000072002411","0.7542999982833862","0.6879000067710876","1.8139054745435712","0.9991999864578248","0.9998166561126708","0.999750018119812","0.008964701739952285","0.3631999790668487","0.7720999717712402","0.7211999893188477","1.6249295115470883"
"elated-firebrand-20","378","https://github.com/carloalbertobarbano/rebias/tree/7ef8564b0f87bee130685baa423385751962dfdd","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.997","1","1","1","0.006050048116594553","0.4590999782085418","0.6143999695777893","0.5284000039100647","1.270817956328392","0.9994000196456908","0.9995999932289124","0.9995499849319458","0.007609388374901833","0.5094999670982361","0.6527000069618225","0.5774999856948853","1.1566190510988237"
"cosmic-plasma-19","376","https://github.com/carloalbertobarbano/rebias/tree/7ef8564b0f87bee130685baa423385751962dfdd","newnode11","-","Tesla V100-SXM2-32GB","4","","","rebias","0.999","1","1","1","0.005499490164220333","0.8871999979019165","0.14000000059604645","0.09589999914169312","0.3834846280515194","0.9999666810035706","0.9990666508674622","0.9989833235740662","0.005690466517463644","0.8920999765396118","0.23099999129772184","0.19380000233650208","0.35006049945950507"
"glad-thunder-18","373","https://github.com/carloalbertobarbano/rebias/tree/7ef8564b0f87bee130685baa423385751962dfdd","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.995","0.9998999834060668","0.9998999834060668","0.9998999834060668","0.007251568115316331","0.3823999762535095","0.6570000052452087","0.6013000011444092","1.5328484237194062","0.9993333220481871","0.9996166825294496","0.9996166825294496","0.008746416533881045","0.4452999830245972","0.682699978351593","0.6388999819755554","1.3917683124542235"
"elated-snow-17","372","https://github.com/carloalbertobarbano/rebias/tree/7ef8564b0f87bee130685baa423385751962dfdd","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.997","1","1","1","0.006360715581104159","0.882099986076355","0.13759998977184296","0.09999999403953552","0.4795370258390904","0.9998833537101746","0.9990167021751404","0.9990000128746032","0.00714246138256598","0.8916999697685242","0.22259999811649325","0.1899999976158142","0.4228465795516968"
"restful-shape-16","372","https://github.com/carloalbertobarbano/rebias/tree/7ef8564b0f87bee130685baa423385751962dfdd","newnode11","-","Tesla V100-SXM2-32GB","4","","","vanilla","0.999","1","1","1","0.004957021074369549","0.9966999888420104","0.0009999999310821297","0.0016999999061226845","0.08523363675922155","0.9999833703041076","0.9989500045776368","0.9989666938781738","0.0051268831192654496","0.9953999519348145","0.10049999505281448","0.10119999945163728","0.0761341723613441"